anno;numero;data;oggetto;link
2004;1274;24.05.2004;Istituzione di viabilità a rotatoria in Via G. Valentini;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1274
2004;2623;25.10.2004;Istituzione carico e scarico in varie vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2623
2004;2975;25.11.2004;Nuova viabilità in Via Bruno Banchini;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2975
2004;2974;25.11.2004;Nuova viabilità in Via Querceto;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2974
2004;2973;25.11.2004;Nuova viabilità via Rinascita;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2973
2004;1947;26.07.2004;Nuova viabilità a rotatoria all'intersezione tra viale F.lli Cervi e via L. Rossi;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1947
2004;2468;26.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2468
2004;2467;26.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2467
2004;2969;26.11.2004;Viabilità permanente Piazzale Educazione Stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2969
2004;2959;26.11.2004;Divieto di sosta in via delle Fonti per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2959
2004;1973;27.07.2004;Nuova viabilità a rotatoria intersezione via Paronese via del Molinuzzo;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1973
2004;2961;27.11.2004;Divieto di sosta in via Cesare Grassi per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2961
2004;3210;28.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3210
2004;3207;28.01.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3207
2004;2459;28.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2459
2004;2458;28.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2458
2004;2453;29.10.2004;Pulizia di fondo della sede stradale in Via Galcianese;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2453
2004;2452;29.10.2004;Pulizia di fondo della sede stradale in varie Vie;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=2452
2004;3004;29.11.2004;Nuova viabilità a rotatoria in via Paronese via Gora del Pero;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3004
2004;1359;31.05.2004;Circolazione e sosta in Area Pedonale Urbana;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=1359
2004;3286;31.12.2004;Istituzione posti riservati handicap in varie vie del distretto ovest;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3286
2004;3284;31.12.2004;Istituzione posti handicap varie vie del distretto nord;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3284
2004;3283;31.12.2004;Istituzione posti handicap in varie vie del distretto est;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3283
2004;3282;31.12.2004;istituzione posti handicap in varie strade del distretto centro;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2004&numero=3282
2005;212;01.02.2005;Divieto di sosta per manovre di accesso al passo carrabile;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=212
2005;176;01.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=176
2005;175;01.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=175
2005;174;01.02.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=174
2005;929;01.05.2005;Divieto di sosta in vicolo di Cortevecchia per realizzazione passo carrabile;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=929
2005;1373;01.06.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=1373
2005;1366;01.06.2005;Divieto di sosta in via Doberdo' per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=1366
2005;1365;01.06.2005;15.	Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=1365
2005;1806;01.07.2005;Senso unico di circolazione in via A.Spano;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=1806
2005;1805;01.07.2005;Nuova viabilità in viale G.Galilei;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=1805
2005;468;02.03.2005;Nuova viabilità in via U.Hoepli;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=468
2005;2998;02.11.2005;Divieto di sosta in varie vie per pulizia di fondo della sede stradale;https://ordinanzeviabilita.comune.prato.it/ordinanzeviabilitabinj/servlet/OrdinanzeviabilitaServlet?tpope=ORDINANZA&anno=2005&numero=2998
